2025-10-01 14:03:17,682 | INFO | root | Using device: cuda
2025-10-01 20:24:08,099 | INFO | root | Using device: cuda
2025-10-01 20:25:37,845 | INFO | root | Using device: cuda
2025-10-01 20:27:16,137 | INFO | root | Using device: cuda
2025-10-01 20:29:51,103 | INFO | root | Using device: cuda
2025-10-01 20:32:02,100 | INFO | root | Using device: cuda
2025-10-01 20:34:10,469 | INFO | root | Inferred train window: 2019-09-01 00:00:00 to 2019-10-31 23:59:00
2025-10-01 20:34:10,469 | INFO | root | Inferred val window: 2019-11-01 00:00:00 to 2019-11-30 23:59:00
2025-10-01 20:35:04,537 | INFO | root | Verified 3 sample(s) for image/series alignment
2025-10-01 20:35:30,548 | INFO | root | Verified 1 sample(s) for image/series alignment
2025-10-01 20:35:30,570 | INFO | root | Train samples: 40673
2025-10-01 20:35:30,570 | INFO | root | Validation samples: 17376
2025-10-01 20:37:19,518 | INFO | root | Using device: cuda
2025-10-01 20:39:24,027 | INFO | root | Inferred train window: 2019-09-01 00:00:00 to 2019-10-31 23:59:00
2025-10-01 20:39:24,027 | INFO | root | Inferred val window: 2019-11-01 00:00:00 to 2019-11-30 23:59:00
2025-10-01 20:40:16,135 | INFO | root | Verified 3 sample(s) for image/series alignment
2025-10-01 20:40:40,693 | INFO | root | Verified 1 sample(s) for image/series alignment
2025-10-01 20:40:40,714 | INFO | root | Train samples: 40673
2025-10-01 20:40:40,714 | INFO | root | Validation samples: 17376
2025-10-01 20:40:50,581 | INFO | root | Computed normalization statistics
2025-10-01 20:40:50,584 | INFO | root | Saved normalization stats to runs/fabel_baseline/normalization.pt
2025-10-01 20:40:53,030 | INFO | root | Running dry-run (single batch)
2025-10-01 21:09:39,940 | INFO | root | Using device: cuda
2025-10-01 21:11:42,273 | INFO | root | Inferred train window: 2019-09-01 00:00:00 to 2019-10-31 23:59:00
2025-10-01 21:11:42,274 | INFO | root | Inferred val window: 2019-11-01 00:00:00 to 2019-11-30 23:59:00
2025-10-01 21:12:36,773 | INFO | root | Verified 3 sample(s) for image/series alignment
2025-10-01 21:13:02,026 | INFO | root | Verified 1 sample(s) for image/series alignment
2025-10-01 21:13:02,048 | INFO | root | Train samples: 40673
2025-10-01 21:13:02,048 | INFO | root | Validation samples: 17376
2025-10-01 21:13:05,815 | INFO | root | Computed normalization statistics
2025-10-01 21:13:05,818 | INFO | root | Saved normalization stats to runs/fabel_baseline/normalization.pt
2025-10-01 21:13:07,285 | INFO | root | Running dry-run (single batch)
2025-10-01 21:13:11,746 | INFO | v_transformer.training | Epoch 1 Train RMSE mean 793.1989 Skill -39.8385
2025-10-01 21:13:14,489 | INFO | v_transformer.training | Epoch 1 val Loss 1233.2002 RMSE mean 31.2952 Skill -1.0344
