2025-10-02 10:44:13,613 | INFO | root | Using device: cuda
2025-10-02 10:44:38,862 | INFO | root | Using device: cuda:1
2025-10-02 10:48:23,110 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 10:48:23,129 | INFO | root | Inferred train window: 2019-09-01 00:00:00 to 2019-10-31 23:59:00
2025-10-02 10:48:23,129 | INFO | root | Inferred val window: 2019-11-01 00:00:00 to 2019-11-30 23:59:00
2025-10-02 10:50:25,072 | INFO | root | Verified 3 sample(s) for image/series alignment
2025-10-02 10:51:20,041 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 10:51:20,598 | INFO | root | Verified 1 sample(s) for image/series alignment
2025-10-02 10:51:20,619 | INFO | root | Train samples: 40673
2025-10-02 10:51:20,619 | INFO | root | Validation samples: 17260
2025-10-02 10:51:28,231 | INFO | root | Computed normalization statistics
2025-10-02 10:51:28,234 | INFO | root | Saved normalization stats to runs/sanity_amp/normalization.pt
2025-10-02 10:56:05,020 | INFO | root | Using device: cpu
2025-10-02 10:59:44,991 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 10:59:45,009 | INFO | root | Inferred train window: 2019-09-01 00:00:00 to 2019-10-31 23:59:00
2025-10-02 10:59:45,009 | INFO | root | Inferred val window: 2019-11-01 00:00:00 to 2019-11-30 23:59:00
2025-10-02 11:01:43,493 | INFO | root | Verified 3 sample(s) for image/series alignment
2025-10-02 11:02:38,621 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 11:02:38,816 | INFO | root | Verified 1 sample(s) for image/series alignment
2025-10-02 11:02:38,837 | INFO | root | Train samples: 40673
2025-10-02 11:02:38,837 | INFO | root | Validation samples: 17260
2025-10-02 11:03:27,859 | INFO | root | Using device: cuda
2025-10-02 11:07:06,719 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 11:07:06,737 | INFO | root | Inferred train window: 2019-09-01 00:00:00 to 2019-10-31 23:59:00
2025-10-02 11:07:06,738 | INFO | root | Inferred val window: 2019-11-01 00:00:00 to 2019-11-30 23:59:00
2025-10-02 11:09:05,044 | INFO | root | Verified 3 sample(s) for image/series alignment
2025-10-02 11:09:58,218 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 11:09:58,526 | INFO | root | Verified 1 sample(s) for image/series alignment
2025-10-02 11:09:58,548 | INFO | root | Train samples: 40673
2025-10-02 11:09:58,548 | INFO | root | Validation samples: 17260
2025-10-02 11:10:19,799 | INFO | root | Computed normalization statistics
2025-10-02 11:10:19,803 | INFO | root | Saved normalization stats to runs/sanity_amp/normalization.pt
2025-10-02 11:10:33,773 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 2; skipping batch. preds range=[-0.4836, 0.4705] targets range=[0.0000, 777.9000]
2025-10-02 11:10:36,104 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 3; skipping batch. preds range=[-0.5005, 0.5371] targets range=[2.5000, 875.0000]
2025-10-02 11:10:43,264 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 6; skipping batch. preds range=[-0.4392, 0.5273] targets range=[30.1000, 960.0000]
2025-10-02 11:10:53,670 | INFO | v_transformer.training | Epoch 1 Step 10 Loss 244182.7969
2025-10-02 11:10:56,904 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 11; skipping batch. preds range=[-0.4604, 0.6982] targets range=[6.3000, 722.0000]
2025-10-02 11:11:17,277 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 18; skipping batch. preds range=[-0.2074, 1.8281] targets range=[0.0000, 839.0000]
2025-10-02 11:11:19,716 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 19; skipping batch. preds range=[-0.0906, 1.8203] targets range=[0.0000, 909.0000]
2025-10-02 11:11:22,060 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 20; skipping batch. preds range=[-0.1472, 1.8525] targets range=[18.8000, 1061.0000]
2025-10-02 11:11:41,209 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 27; skipping batch. preds range=[0.0000, 2.7090] targets range=[6.6000, 582.8000]
2025-10-02 11:11:43,541 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 28; skipping batch. preds range=[0.0000, 2.6895] targets range=[78.2000, 803.0000]
2025-10-02 11:11:48,346 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 30; skipping batch. preds range=[0.0000, 2.9141] targets range=[129.9000, 861.0000]
2025-10-02 11:11:50,647 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 31; skipping batch. preds range=[0.0000, 2.8887] targets range=[28.1000, 693.2000]
2025-10-02 11:12:00,366 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 35; skipping batch. preds range=[0.0000, 3.3398] targets range=[0.5000, 691.9000]
2025-10-02 11:12:07,504 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 37; skipping batch. preds range=[0.0000, 3.2578] targets range=[63.8000, 849.0000]
2025-10-02 11:12:11,106 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 38; skipping batch. preds range=[0.0000, 3.2949] targets range=[61.5000, 899.0000]
2025-10-02 11:12:16,161 | INFO | v_transformer.training | Epoch 1 Step 40 Loss 356447.4688
2025-10-02 11:12:20,797 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 42; skipping batch. preds range=[0.0000, 3.7578] targets range=[1.3000, 898.0000]
2025-10-02 11:12:23,201 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 43; skipping batch. preds range=[-0.1289, 3.5762] targets range=[7.0000, 878.0000]
2025-10-02 11:12:27,841 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 45; skipping batch. preds range=[0.0000, 3.9746] targets range=[116.4000, 899.0000]
2025-10-02 11:12:38,230 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 49; skipping batch. preds range=[0.0000, 4.0547] targets range=[101.4000, 896.0000]
2025-10-02 11:12:41,492 | INFO | v_transformer.training | Epoch 1 Step 50 Loss 171801.9062
2025-10-02 11:12:49,345 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 52; skipping batch. preds range=[0.0000, 4.3906] targets range=[192.8000, 992.0000]
2025-10-02 11:13:01,792 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 57; skipping batch. preds range=[0.0000, 4.6875] targets range=[90.0000, 1013.0000]
2025-10-02 11:13:06,532 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 59; skipping batch. preds range=[0.0000, 5.0312] targets range=[71.6000, 1010.0000]
2025-10-02 11:13:08,870 | INFO | v_transformer.training | Epoch 1 Step 60 Loss 394424.1562
2025-10-02 11:13:11,179 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 61; skipping batch. preds range=[0.0000, 5.0977] targets range=[46.5000, 824.0000]
2025-10-02 11:13:15,819 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 63; skipping batch. preds range=[0.0000, 5.3086] targets range=[20.6000, 690.0000]
2025-10-02 11:13:30,697 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 68; skipping batch. preds range=[0.0000, 6.0664] targets range=[13.9000, 666.7000]
2025-10-02 11:13:35,488 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 70; skipping batch. preds range=[0.0000, 6.2305] targets range=[6.3000, 808.0000]
2025-10-02 11:13:37,839 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 71; skipping batch. preds range=[0.0000, 5.9258] targets range=[0.0000, 800.0000]
2025-10-02 11:13:42,689 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 73; skipping batch. preds range=[0.0000, 6.2695] targets range=[20.9000, 954.0000]
2025-10-02 11:13:54,865 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 77; skipping batch. preds range=[0.0000, 6.3203] targets range=[0.0000, 745.1000]
2025-10-02 11:14:01,555 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 79; skipping batch. preds range=[0.0000, 6.5820] targets range=[103.1000, 810.0000]
2025-10-02 11:14:03,895 | INFO | v_transformer.training | Epoch 1 Step 80 Loss 368779.8438
2025-10-02 11:14:11,169 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 83; skipping batch. preds range=[0.0000, 7.0977] targets range=[41.7000, 926.0000]
2025-10-02 11:14:32,698 | INFO | v_transformer.training | Epoch 1 Step 90 Loss 405307.9688
2025-10-02 11:14:41,798 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 93; skipping batch. preds range=[0.0000, 8.7734] targets range=[0.0000, 783.4000]
2025-10-02 11:14:51,421 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 97; skipping batch. preds range=[0.0000, 9.3750] targets range=[18.1000, 796.2000]
2025-10-02 11:14:58,739 | INFO | v_transformer.training | Epoch 1 Step 100 Loss 271586.2188
2025-10-02 11:15:01,105 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 101; skipping batch. preds range=[0.0000, 10.2656] targets range=[9.2000, 957.0000]
2025-10-02 11:15:18,455 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 107; skipping batch. preds range=[0.0000, 11.0625] targets range=[75.4000, 838.0000]
2025-10-02 11:15:25,744 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 110; skipping batch. preds range=[0.0000, 11.6719] targets range=[0.0000, 807.0000]
2025-10-02 11:15:37,236 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 114; skipping batch. preds range=[0.0000, 12.4766] targets range=[65.8000, 875.0000]
2025-10-02 11:15:46,313 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 116; skipping batch. preds range=[0.0000, 12.7500] targets range=[130.3000, 915.0000]
2025-10-02 11:15:56,227 | INFO | v_transformer.training | Epoch 1 Step 120 Loss 208404.7344
2025-10-02 11:16:05,659 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 124; skipping batch. preds range=[0.0000, 14.8906] targets range=[25.6000, 821.0000]
2025-10-02 11:16:19,459 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 129; skipping batch. preds range=[0.0000, 15.7031] targets range=[20.7000, 799.8000]
2025-10-02 11:16:22,524 | INFO | v_transformer.training | Epoch 1 Step 130 Loss 315441.9688
2025-10-02 11:16:43,623 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 138; skipping batch. preds range=[0.0000, 18.6562] targets range=[65.9000, 788.0000]
2025-10-02 11:16:48,447 | INFO | v_transformer.training | Epoch 1 Step 140 Loss 231235.5312
2025-10-02 11:16:56,313 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 143; skipping batch. preds range=[0.0000, 19.6562] targets range=[20.9000, 616.5000]
2025-10-02 11:17:08,298 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 147; skipping batch. preds range=[0.0000, 20.9062] targets range=[54.8000, 733.0000]
2025-10-02 11:17:10,724 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 148; skipping batch. preds range=[0.0000, 20.8281] targets range=[24.9000, 722.2000]
2025-10-02 11:17:15,606 | INFO | v_transformer.training | Epoch 1 Step 150 Loss 243875.2031
2025-10-02 11:17:38,898 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 157; skipping batch. preds range=[0.0000, 23.9219] targets range=[8.5000, 826.0000]
2025-10-02 11:17:46,446 | INFO | v_transformer.training | Epoch 1 Step 160 Loss 164724.2969
2025-10-02 11:17:48,735 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 161; skipping batch. preds range=[0.0000, 26.2812] targets range=[161.1000, 850.0000]
2025-10-02 11:18:03,614 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 167; skipping batch. preds range=[0.0000, 29.7656] targets range=[93.6000, 666.6000]
2025-10-02 11:18:26,058 | INFO | root | Using device: cuda:1
2025-10-02 11:18:56,941 | INFO | root | Using device: cpu
2025-10-02 11:22:05,266 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 11:22:05,284 | INFO | root | Inferred train window: 2019-09-01 00:00:00 to 2019-10-31 23:59:00
2025-10-02 11:22:05,284 | INFO | root | Inferred val window: 2019-11-01 00:00:00 to 2019-11-30 23:59:00
2025-10-02 11:22:36,685 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 11:22:36,703 | INFO | root | Inferred train window: 2019-09-01 00:00:00 to 2019-10-31 23:59:00
2025-10-02 11:22:36,703 | INFO | root | Inferred val window: 2019-11-01 00:00:00 to 2019-11-30 23:59:00
2025-10-02 11:24:32,506 | INFO | root | Verified 3 sample(s) for image/series alignment
2025-10-02 11:25:23,020 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 11:25:23,225 | INFO | root | Verified 1 sample(s) for image/series alignment
2025-10-02 11:25:23,248 | INFO | root | Train samples: 40673
2025-10-02 11:25:23,248 | INFO | root | Validation samples: 17260
2025-10-02 11:25:25,576 | INFO | root | Using device: cuda:1
2025-10-02 11:25:35,888 | INFO | root | Computed normalization statistics
2025-10-02 11:25:35,889 | INFO | root | Saved normalization stats to runs/sanity_amp/normalization.pt
2025-10-02 11:26:05,960 | INFO | v_transformer.training | Epoch 1 Step 10 Loss 326864.1562
2025-10-02 11:26:32,003 | INFO | v_transformer.training | Epoch 1 Step 20 Loss 172325.3750
2025-10-02 11:27:06,255 | INFO | v_transformer.training | Epoch 1 Step 30 Loss 171383.1250
2025-10-02 11:27:33,488 | INFO | v_transformer.training | Epoch 1 Step 40 Loss 149347.2031
2025-10-02 11:28:02,053 | INFO | v_transformer.training | Epoch 1 Step 50 Loss 311034.8750
2025-10-02 11:28:28,100 | INFO | v_transformer.training | Epoch 1 Step 60 Loss 165012.4375
2025-10-02 11:28:59,413 | INFO | v_transformer.training | Epoch 1 Step 70 Loss 353924.5000
2025-10-02 11:29:27,264 | INFO | v_transformer.training | Epoch 1 Step 80 Loss 159484.5781
2025-10-02 11:29:57,402 | INFO | v_transformer.training | Epoch 1 Step 90 Loss 137241.9531
2025-10-02 11:30:15,430 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 11:30:15,449 | INFO | root | Inferred train window: 2019-09-01 00:00:00 to 2019-10-31 23:59:00
2025-10-02 11:30:15,449 | INFO | root | Inferred val window: 2019-11-01 00:00:00 to 2019-11-30 23:59:00
2025-10-02 11:30:22,371 | INFO | v_transformer.training | Epoch 1 Step 100 Loss 396957.9062
2025-10-02 11:30:54,646 | INFO | v_transformer.training | Epoch 1 Step 110 Loss 215833.2812
2025-10-02 11:31:23,916 | INFO | v_transformer.training | Epoch 1 Step 120 Loss 416734.7812
2025-10-02 11:31:51,154 | INFO | v_transformer.training | Epoch 1 Step 130 Loss 297202.3438
2025-10-02 11:32:18,990 | INFO | v_transformer.training | Epoch 1 Step 140 Loss 164469.2656
2025-10-02 11:32:46,687 | INFO | v_transformer.training | Epoch 1 Step 150 Loss 198590.5938
2025-10-02 11:33:00,879 | INFO | root | Verified 3 sample(s) for image/series alignment
2025-10-02 11:33:19,447 | INFO | v_transformer.training | Epoch 1 Step 160 Loss 246251.5938
2025-10-02 11:33:46,593 | INFO | v_transformer.training | Epoch 1 Step 170 Loss 252851.4062
2025-10-02 11:34:12,819 | INFO | v_transformer.data | Skipped 116 sample(s) with non-finite feature or target values
2025-10-02 11:34:13,519 | INFO | root | Verified 1 sample(s) for image/series alignment
2025-10-02 11:34:13,560 | INFO | root | Train samples: 40673
2025-10-02 11:34:13,560 | INFO | root | Validation samples: 17260
2025-10-02 11:34:13,904 | INFO | v_transformer.training | Epoch 1 Step 180 Loss 163626.9531
2025-10-02 11:34:39,032 | INFO | root | Computed normalization statistics
2025-10-02 11:34:39,033 | INFO | root | Saved normalization stats to runs/sanity_amp/normalization.pt
2025-10-02 11:34:44,281 | INFO | v_transformer.training | Epoch 1 Step 190 Loss 235808.0469
2025-10-02 11:34:44,356 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 1; skipping batch. preds range=[-0.8862, 0.3928] targets range=[0.0000, 897.0000]
2025-10-02 11:35:17,956 | INFO | v_transformer.training | Epoch 1 Step 10 Loss 260175.9844
2025-10-02 11:35:19,164 | INFO | v_transformer.training | Epoch 1 Step 200 Loss 266900.7812
2025-10-02 11:35:41,475 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 17; skipping batch. preds range=[-0.0609, 2.1836] targets range=[28.4000, 1202.0000]
2025-10-02 11:35:50,197 | INFO | v_transformer.training | Epoch 1 Step 210 Loss 149473.3438
2025-10-02 11:35:52,817 | INFO | v_transformer.training | Epoch 1 Step 20 Loss 290279.8438
2025-10-02 11:36:03,007 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 23; skipping batch. preds range=[0.0000, 2.8672] targets range=[8.6000, 719.7000]
2025-10-02 11:36:09,268 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 25; skipping batch. preds range=[0.0000, 3.0059] targets range=[193.1000, 954.0000]
2025-10-02 11:36:12,262 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 26; skipping batch. preds range=[0.0000, 3.1816] targets range=[4.4000, 779.9000]
2025-10-02 11:36:19,969 | INFO | v_transformer.training | Epoch 1 Step 220 Loss 92724.6250
2025-10-02 11:36:25,986 | INFO | v_transformer.training | Epoch 1 Step 30 Loss 197366.7969
2025-10-02 11:36:55,527 | INFO | v_transformer.training | Epoch 1 Step 230 Loss 104808.2734
2025-10-02 11:36:59,996 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 39; skipping batch. preds range=[0.0000, 4.1172] targets range=[0.0000, 839.0000]
2025-10-02 11:37:03,664 | INFO | v_transformer.training | Epoch 1 Step 40 Loss 181148.2344
2025-10-02 11:37:13,318 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 43; skipping batch. preds range=[0.0000, 4.3438] targets range=[32.0000, 982.0000]
2025-10-02 11:37:23,014 | INFO | v_transformer.training | Epoch 1 Step 240 Loss 58276.0195
2025-10-02 11:37:37,373 | INFO | v_transformer.training | Epoch 1 Step 50 Loss 58959.8125
2025-10-02 11:37:45,200 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 52; skipping batch. preds range=[0.0000, 5.1289] targets range=[139.9000, 820.0000]
2025-10-02 11:37:55,796 | INFO | v_transformer.training | Epoch 1 Step 250 Loss 97816.7344
2025-10-02 11:38:04,471 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 58; skipping batch. preds range=[0.0000, 5.9023] targets range=[0.0000, 945.0000]
2025-10-02 11:38:10,820 | INFO | v_transformer.training | Epoch 1 Step 60 Loss 230900.7500
2025-10-02 11:38:26,024 | INFO | v_transformer.training | Epoch 1 Step 260 Loss 120215.0234
2025-10-02 11:38:49,716 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 70; skipping batch. preds range=[0.0000, 7.8711] targets range=[168.2000, 800.0000]
2025-10-02 11:39:00,626 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 74; skipping batch. preds range=[0.0000, 8.1797] targets range=[9.5000, 873.0000]
2025-10-02 11:39:15,372 | INFO | v_transformer.training | Epoch 1 Step 80 Loss 225686.4531
2025-10-02 11:39:17,662 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 81; skipping batch. preds range=[0.0000, 9.5547] targets range=[17.0000, 879.0000]
2025-10-02 11:39:20,254 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 82; skipping batch. preds range=[0.0000, 9.4922] targets range=[20.9000, 799.0000]
2025-10-02 11:39:27,485 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 84; skipping batch. preds range=[0.0000, 9.8750] targets range=[0.0000, 784.0000]
2025-10-02 11:39:33,201 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 86; skipping batch. preds range=[0.0000, 9.7344] targets range=[12.1000, 934.0000]
2025-10-02 11:39:37,891 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 88; skipping batch. preds range=[0.0000, 9.9297] targets range=[26.8000, 793.8000]
2025-10-02 11:39:42,385 | INFO | v_transformer.training | Epoch 1 Step 90 Loss 251341.1562
2025-10-02 11:39:46,837 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 92; skipping batch. preds range=[0.0000, 10.7500] targets range=[41.1000, 1061.0000]
2025-10-02 11:39:49,041 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 93; skipping batch. preds range=[0.0000, 11.5312] targets range=[84.8000, 972.0000]
2025-10-02 11:39:54,198 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 95; skipping batch. preds range=[0.0000, 11.5078] targets range=[39.1000, 809.0000]
2025-10-02 11:40:07,357 | INFO | v_transformer.training | Epoch 1 Step 100 Loss 202191.0000
2025-10-02 11:40:19,777 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 104; skipping batch. preds range=[0.0000, 13.5156] targets range=[0.0000, 784.9000]
2025-10-02 11:40:35,137 | INFO | v_transformer.training | Epoch 1 Step 110 Loss 251506.5469
2025-10-02 11:40:46,276 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 115; skipping batch. preds range=[0.0000, 15.8594] targets range=[69.3000, 882.0000]
2025-10-02 11:40:50,886 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 117; skipping batch. preds range=[0.0000, 16.8125] targets range=[24.4000, 949.0000]
2025-10-02 11:40:53,141 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 118; skipping batch. preds range=[0.0000, 16.4688] targets range=[40.0000, 880.0000]
2025-10-02 11:40:55,512 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 119; skipping batch. preds range=[0.0000, 16.3906] targets range=[39.1000, 671.6000]
2025-10-02 11:40:57,846 | INFO | v_transformer.training | Epoch 1 Step 120 Loss 176877.2031
2025-10-02 11:41:00,806 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 121; skipping batch. preds range=[0.0000, 17.0000] targets range=[93.2000, 808.0000]
2025-10-02 11:41:04,911 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 122; skipping batch. preds range=[0.0000, 16.8906] targets range=[50.0000, 951.0000]
2025-10-02 11:41:23,514 | INFO | v_transformer.training | Epoch 1 Step 130 Loss 278205.3438
2025-10-02 11:41:34,108 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 134; skipping batch. preds range=[0.0000, 20.5625] targets range=[0.0000, 1038.0000]
2025-10-02 11:41:40,880 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 137; skipping batch. preds range=[0.0000, 22.0000] targets range=[60.0000, 951.0000]
2025-10-02 11:41:48,922 | INFO | v_transformer.training | Epoch 1 Step 140 Loss 94557.8750
2025-10-02 11:41:53,799 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 142; skipping batch. preds range=[0.0000, 23.0781] targets range=[0.0000, 878.0000]
2025-10-02 11:42:03,560 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 145; skipping batch. preds range=[0.0000, 24.3281] targets range=[67.6000, 896.0000]
2025-10-02 11:42:11,517 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 148; skipping batch. preds range=[0.0000, 25.7344] targets range=[136.8000, 826.0000]
2025-10-02 11:42:14,344 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 149; skipping batch. preds range=[0.0000, 25.5312] targets range=[7.1000, 791.8000]
2025-10-02 11:42:16,568 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 150; skipping batch. preds range=[0.0000, 25.5781] targets range=[40.0000, 763.2000]
2025-10-02 11:42:26,186 | ERROR | v_transformer.training | Non-finite loss encountered (AMP) at epoch 1 step 154; skipping batch. preds range=[0.0000, 26.4688] targets range=[11.8000, 861.0000]
2025-10-02 11:42:40,153 | INFO | v_transformer.training | Epoch 1 Step 160 Loss 258586.7812
